sentence1,sentence2,similarity_score
A girl is skipping rope on a sidewalk,A boy is jumping rope on a sidewalk near a parking garage,3.8
A girl is jumping rope on a sidewalk near a parking garage,A girl is skipping rope on a sidewalk,4.3
People are clustered around a bonfire at night,People are clustered around a bonfire at morning,3.6
No people is sitting around a fire at night,People are clustered around a bonfire at night,3.9
People are sitting around a bonfire at night,Several people are sitting around a fire at night,4.3
A white dog is standing in a lake,A brown dog is standing in a lake,3.4
Two dogs are running through the park,Two animals are running through the park,4.5
Two dogs are running through the beach,Two dogs are running through the park,3.2
Two dogs are running quickly through the park,Two dogs are running quickly through a park,5.0
Two dogs are walking slowly through a park,Two dogs are running quickly through a park,3.7
A boy is speeding down a steep slide,A kid is speeding down a steep slide,4.8
A girl is speeding down a steep slide,A boy is speeding down a steep slide,3.7
A boy is speeding down a steep slide,A boy is wearing all black and is sliding down a blow up yellow slide,3.9
A man with a white moustache is sitting on a balcony and is looking at the road below,A man with a white moustache is standing on a balcony and is looking at the road below,4.4
A man with a white moustache is sitting on a balcony and is looking at the road below,A man is leaning on the ledge of a balcony,3.7
A woman is leaning on the ledge of a balcony,A man with a white moustache is standing on a balcony and is looking at the road below,2.8
A brown and white dog with a brown and black bandanna is quickly running ,A brown and white dog with a brown and black bandanna is running very fast,4.9
A small white dog is running across a lawn,A brown and white dog with a brown and black bandanna is quickly running ,2.8
A brown and white dog with a brown and black bandanna is running very fast,A small white dog is running in a lawn,2.9
A brown and white dog with a brown and black bandanna is running very fast,A small white dog is running across a lawn,3.4
A black dog on a leash is walking in the water,A white dog on a leash is walking in the water,3.6
A white dog on a leash is walking in the water,The dog is on a leash and is walking out of the water,3.6
A black dog on a leash is walking in the water,The dog is on a leash and is walking in the water,4.3
A red sled is being held by a little girl in a green coat and a boy walking in the snow,A little girl in a green coat and a boy holding a red sled are walking in the snow,4.2
A little girl in a green coat and a boy holding a red sled are walking in the snow,A little girl in a green coat and a boy holding a red sled are lying in the snow,3.7
A little girl in a green coat and a boy holding a red sled are walking in the snow,A child is wearing a coat and is carrying a red sled near a child in a green and black coat,3.8
A boy is sitting on the ground,A toddler is sitting down,3.3
A boy is sitting in a seat,A toddler is sitting in a seat,3.7
A boy is sitting on the ground,A boy is sitting in a seat,3.7
A boy is sitting in a seat,A toddler is sitting down,4.2
A dog is catching a black frisbee,A dog is biting a black frisbee,4.1
A large wet yellow dog is retrieving a toy,A large wet yellow dog is holding a toy,4.3
A large wet yellow dog is retrieving a toy,A large wet yellow cat is retrieving a toy,2.9
A man is walking in a city street,A woman is walking in a city street,3.5
A woman is walking in a city street,A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,1.6
Two people are riding motorbikes,Motorbikes are being ridden by two people,4.9
Dirt bikers are riding on a trail,Two people are not riding motorbikes,2.7
Two people are riding motorbikes,Dirt bikers are riding on a trail,3.6
A man is leaning against a pole and is surrounded by people,A man is leaning against a pole and is surrounded,4.2
A middle eastern man is standing against a lamp post near to other people,A man is leaning against a pole and is surrounded by people,3.7
A middle eastern woman is standing with her back against a lamp post near to other people,A man is leaning against a pole and is surrounded by people,2.5
A couple is not looking at a map,A couple is looking at a map,4.3
A man and a woman are standing in front of an art gallery and are looking at a map,A man and a woman are standing in front of an art gallery and are looking at a signboard ,3.8
A man and a woman are standing in front of an art gallery and are looking at a map,A man and a woman are sitting in front of an art gallery and are looking at a map,3.4
A man and a woman are standing in front of an art gallery and are looking at a signboard ,A couple is looking at a map,2.3
A man and a woman are sitting in front of an art gallery and are looking at a map,A couple is looking at a map,4.4
A couple is looking at a street guide,A man and a woman are standing in front of an art gallery and are looking at a map,3.7
A little dog is running on the sand,No little dog is running on the sand,2.5
No little dog is running on the sand,The dog is running across the gravel,3.2
Two males are standing on a cliff edge and one is jumping into the sea,Two males are standing on a cliff edge and one is jumping into the water,4.6
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,Two males are standing on a cliff edge and one is jumping into the sea,3.9
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water,Two males are standing on a cliff edge and one is jumping into the water,4.1
One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,Two males are standing on a cliff edge and one is jumping into the water,3.1
A boy in blue shirt is looking at his hand near a stack of blocks on table,The boy in blue shirt is looking at his hand near the stack of blocks on table,4.9
A boy in blue shirt is looking at his hand near a stack of blocks on table,A woman in blue shirt is looking at her hand near a stack of blocks on table,3.1
The boy in blue shirt is looking at his hand near the stack of blocks on table,A boy is playing a game with wooden blocks,3.1
A boy is playing a game with wooden blocks,A woman in blue shirt is looking at her hand near a stack of blocks on table,2.0
A boy is playing a game with blocks made of wood,A boy in blue shirt is looking at his hand near a stack of blocks on table,3.4
A woman in a bikini is pulling a dog on a leash at the seashore,A woman in a bikini is pulling a dog on a leash at the beach,4.6
A woman in a bikini is pulling a dog on a leash at the beach,A woman in a bikini is pulling a cat on a leash at the beach,3.9
A woman in a bikini is pulling a dog on a leash at the beach,A woman is standing at the beach with an animal on a leash,3.815
A woman in a bikini is pulling a cat on a leash at the beach,A woman is standing at the beach with a dog on a leash,3.2
A woman is standing at the beach with a dog on a leash,A woman in a bikini is pulling a dog on a leash at the beach,3.3
A small group of people are standing and two are sitting on the couch,A small group of people are standing and two are sitting on the sofa,4.8
A big group of people are standing and two are sitting on the couch,A small group of people are standing and two are sitting on the couch,3.4
A group of five young adults are lounging in the room,A group of five young adults are lounging indoors,4.385
A group of five young adults are lounging in the room,A small group of people are standing and two are sitting on the couch,3.8
A big group of people are standing and two are sitting on the couch,A group of five young adults are lounging indoors,3.5
A small group of people are standing and two are sitting on the couch,A group of five young adults are lounging indoors,3.1
The dog has its head inside a red and green gift bag,A dog has its head inside a red and green gift bag,5.0
A dog has its head outside a red and green gift bag,A dog has its head inside a red and green gift bag,3.1
The red and brown dog is digging its nose inside a holiday gift bag,The dog has its head inside a red and green gift bag,4.1
A dog has its head outside a red and green gift bag,The red and brown dog is digging its nose inside a holiday gift bag,3.5
The rider is biking in the rain and wearing a red jacket,The rider is biking in the snow and wearing a red jacket,3.8
A cyclist is biking in a snowy forest in the dark,A cyclist is biking in a snowy forest at night,4.7
A cyclist is biking in a snowy forest at day,A cyclist is biking in a snowy forest at night,3.7
The rider is biking in the snow and wearing a red jacket,A cyclist is biking in a snowy forest at day,3.2
The rider is biking in the rain and wearing a red jacket,A cyclist is biking in a snowy forest at night,3.0
A cyclist is biking in a snowy forest at night,The rider is biking in the snow and wearing a red jacket,3.8
A young girl in a bikini is jumping on the beach,A young girl in a bikini is sitting on the beach,3.6
A young girl in swimming suite is jumping on the beach,A girl with a bikini is playing in the dunes,3.2
A young girl in a bikini is jumping on the beach,A girl with a bikini is playing in the dunes,3.9
A little kid is wearing a hat and is walking in the dry sand,A little kid is wearing a hat and is walking in the wet sand,4.3
A white hat is being worn by a boy which is running on the beach,A boy is wearing a white hat and is running on the beach,5.0
A little kid is wearing a hat and is walking in the wet sand,A white hat is being worn by a boy which is running on the beach,3.4
A boy is wearing a white hat and is walking on the beach,A little kid is wearing a hat and is walking in the wet sand,4.3
A boy is wearing a hat and is walking in the wet sand,A boy is wearing a white hat and is running on the beach,4.3
A boy is wearing a white hat and is running on the beach,A little kid is wearing a hat and is walking in the dry sand,3.7
A man in a white hat is touching a cardboard box,A man in a black hat is touching a cardboard box,3.7
A man in a black hat is reaching for a box,A person in a black hat is reaching for a box,4.6
A man in a white hat is touching a cardboard box,A man in a black hat is reaching for a box,4.2
A young girl with a heart tank top is raising her hands as she is playing on a slide,A young girl with a heart tank top is raising her hands as she is sliding,4.7
A young girl with a heart tank top is raising her hands as she is playing on a slide,A blond child is going down a slide and throwing up his arms,2.8
A young girl with a heart tank top is raising her hands as she is sliding,A blond kid is going down a slide and throwing up his arms,2.8
A blond child is going down a slide and throwing up his arms,A young girl with a heart tank top is raising her hands as she is sliding,3.5
A brown dog is running after a black dog on a rocky shore,A brown dog is running after a dark dog on a rocky shore,4.6
Two dogs are playing on the beach,A brown dog is running after a black dog on a rocky shore,3.9
A brown dog is running after a black dog on a rocky shore,Two dogs are playing on a beach,4.1
Two dogs are playing on a rocky beach,Two dogs are playing on a beach made of rocks,4.7
A black dog is approaching a golden dog on pebbly beach,A black animal is approaching a golden dog on pebbly beach,4.5
A black animal is approaching a golden dog on pebbly beach,Two dogs are playing on a rocky beach,3.3
Two dogs are playing on a beach made of rocks,A black dog is approaching a golden dog on pebbly beach,4.0
A black dog is approaching a golden dog on pebbly beach,Two dogs are playing on a sandy beach,3.1
Two dogs are playing on a rocky beach,A black dog is approaching a golden dog on pebbly beach,3.6
A large white dog is jumping in the air over an area covered by snow,A large white dog is jumping in the air over a snowy area,4.9
A large black dog is jumping in the air over a snowy area,A large white dog is jumping in the air over a snowy area,3.7
A large white dog is jumping in the air over a snowy area,A large white animal is jumping up in the snow,4.3
A large white dog is jumping in the air over a snowy area,A small white dog is jumping up in the snow,3.6
A large white dog is jumping in the air over an area covered by snow,A large white dog is jumping up in the snow,4.2
Two young boys are wearing hats and sticking their colored tongues out,Two young girls are wearing hats and sticking their colored tongues out,3.6
A pair of kids are sticking out blue and green colored tongues,Two kids are sticking out blue and green colored tongues,4.8
A pair of kids are sticking out blue and green colored tongues,Two young boys are wearing hats and sticking their colored tongues out,4.0
Two young boys are wearing hats and sticking their colored tongues out,Two kids are not sticking out blue and green colored tongues,3.8
A dog is standing on the side of a mountain,A dog is standing on a mountain,4.1
A white dog is standing on a grassy hillside,A dog is standing on the side of a mountain,3.5
Two children are rolling in dirty water,Two children are rolling in muddy water,4.9
Two children are rolling in clean water,Two children are rolling in muddy water,3.67
Two boys are laying in the ocean close to the beach,Two boys are laying in the ocean far to the beach,3.8
Two children are rolling in muddy water,Two boys are laying in the water close to the beach,2.5
Two children are rolling in dirty water,Two boys are laying in the ocean close to the beach,3.1
Two children are rolling in clean water,Two boys are laying in the ocean close to the beach,3.0
Two children are rolling in muddy water,Two boys are laying in the ocean close to the beach,2.8
A black and brown cat is eyeing a fly,A black and brown dog is eyeing a fly,3.2
A brown and black dog is looking upwards,A brown and black dog is pointing the nose upwards,4.9
A brown and black dog is looking upwards,A black and brown dog is eyeing a fly,3.2
A brown and black dog is pointing the nose upwards,A black and brown cat is eyeing a fly,1.5
A large man is sitting in a military accessories shop,A large man is sitting in a military accessories store,5.0
A large man is sitting in a military accessories store,A small man is sitting in a military accessories store,3.9
There is no veteran showing things from a war to some people,A large man is sitting in a military accessories store,2.4
A grey dog is bouncing a soccer ball on its head in a grass field,A grey dog is bouncing a soccer ball on its head on a lawn,4.6
A grey dog is bouncing a soccer ball on its head in a grass field,A grey dog is bouncing a tennis ball on its head in a grass field,3.9
A dog with a blue collar is playing with the ball in the garden,A dog with a blue collar is playing with the ball outside,4.4
A dog with a blue collar is not playing with the ball outside,A dog with a blue collar is playing with the ball outside,3.95
A dog with a blue collar is playing with the ball in the garden,A grey dog is bouncing a soccer ball on its head in a grass field,2.9
A dog with a blue collar is not playing with the ball outside,A grey dog is bouncing a soccer ball on its head in a grass field,3.1
A grey dog is bouncing a tennis ball on its head in a grass field,A dog with a blue collar is playing with the ball outside,3.2
A young black child is standing on the edge of a body of water near some buckets,A young black child is waiting on the edge of a body of water near some buckets,4.9
A boy next to some buckets of rags is holding an object,A boy next to some buckets of rags is not holding an object,3.0
A young black child is standing on the edge of a body of water near some buckets,A boy next to some buckets of rags is not holding an object,2.7
A boy next to some buckets of rags is holding an object,A young black child is waiting on the edge of a body of water near some buckets,2.5
A boy next to some buckets of rags is holding an object,A young white child is not standing on the edge of a body of water near some buckets,2.2
Two children are playing soccer in the park,Two children are not playing soccer in the park,3.4
There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,3.2
A woman is wearing a colorful shirt and a lot of jewelry,A man with Indian clothing and henna on his hand is going through paperwork,1.2
A girl with Indian clothing and henna on her hand is going through paperwork,The woman is wearing a colorful shirt and a lot of jewelry,2.4
A woman is wearing a colorful shirt and a lot of jewelry,A girl with Indian clothing and henna on her hand is going through paperwork,2.55
A man is standing in the middle of a gym and is wearing a jersey,There is no man standing in the middle of a gym and is wearing a jersey,3.0
A man in a black jersey is standing in a gym,A woman in a black jersey is standing in a gym,3.5
A man is standing in the middle of a gym and is wearing a jersey,A man in a jersey which is black is standing in a gym,4.2
There is no man standing in the middle of a gym and is wearing a jersey,A man in a black jersey is standing in a gym,3.4
The snowboarder is jumping off the snow,A snowboarder is jumping off the snow,5.0
A snowboarder is jumping off the snow,There is no snowboarder jumping off the snow,3.1
The snowboarder is jumping off a snow covered hill,The snowboarder is jumping off a snowy hill,4.8
The snowboarder is not jumping off a snow covered hill,The snowboarder is jumping off a snow covered hill,3.8
There is no snowboarder jumping off the snow,The snowboarder is jumping off a snow covered hill,3.7
The snowboarder is jumping off a snow covered hill,A snowboarder is jumping off the snow,4.165
A lady is wearing a black dress and is carrying a white cross,A lady is dressed in black and is carrying a white cross,4.5
A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,A woman in a black dress is pulling a cart and is standing near two men who are seated on a park bench,4.6
A lady is wearing a black dress and is carrying a white cross,A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,1.4
A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,A boy is wearing a black dress and is carrying a white cross,2.4
A lady is wearing a black dress and is carrying a white cross,A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,2.7
The boy is standing next to the opening of a fountain,A boy is standing next to the opening of a fountain,5.0
A boy is standing next to the opening of a fountain,A girl is standing next to the opening of a fountain,2.9
A boy in a swimsuit is sitting on top of a circular fountain,The boy is standing next to the opening of a fountain,3.6
A brown and white cat is jumping on the sidewalk,A brown and white dog is jumping on the sidewalk,3.1
A brown and white dog is jumping on the sidewalk,A little brown and white dog is running on the road,3.5
A brown and white animal is jumping on the sidewalk,A little brown and white dog is running on the sidewalk,3.5
A distant person with a blue backpack is hiking in rocky area,A distant person with a blue backpack is hiking area full of rocks,4.9
A distant person with a blue backpack is hiking in rocky area,The person is walking,3.5
A distant person with a blue backpack is hiking in rocky area,The person is hiking,3.8
A ball is being chased by a yellow dog,A yellow dog is chasing a ball,4.8
A yellow cat is chasing a ball,A yellow dog is chasing a ball,3.4
A dog is turning on the grass and pursuing a flying tennis ball,A dog is turning on the grass and pursuing a flying ball,4.7
There is no dog turning on the grass and pursuing a flying ball,A dog is turning on the grass and pursuing a flying ball,4.4
There is no dog turning on the grass and pursuing a flying ball,A yellow dog is chasing a ball,3.2
A yellow dog is chasing a ball,A dog is turning on the grass and pursuing a flying ball,3.9
A woman in blue jeans is standing in front of a group of children beside a house made of stone,A woman in blue jeans is standing in front of a group of children beside a stone built house,4.8
A man in blue jeans is standing in front of a group of children beside a stone built house,A woman in blue jeans is standing in front of a group of children beside a stone built house,3.5
A lady is standing on the street and is surrounded by school children,No lady is standing on the street and is surrounded by school children,2.8
A girl in a strange outfit is riding the bike,A bike is being ridden by a woman wearing paint and costume pieces on a busy street,3.9
The bike is being ridden by a girl in a strange outfit,A woman is wearing paint and costume pieces and is riding a bike on a busy street,3.7
There is no guy leaping into the air in a wooded area,A guy is leaping into the air in a wooded area,3.9
A man with no shirt is jumping over a log,A shirtless man is jumping over a log,4.9
A man with no shirt is jumping over a log,A guy is leaping into the air in a wooded area,3.6
A dog is running with a volleyball,A dog is running with a ball,4.5
There is no dog running with a volleyball,A dog is running with a volleyball,4.0
A girl in a band is playing the flute,A boy in a band is playing the flute,4.1
A girl in a uniform is playing the flute with a band,A girl in a band is playing the flute,4.2
A girl in a uniform is playing the flute with a marching band,A girl in a band is playing an instrument,4.065
A boy in a band is playing the flute,A girl in a uniform is playing the flute with a marching band,3.5
A man is standing at the wheel of a classic American car that has its door and trunk open,A person is standing at the wheel of a classic American car that has its door and trunk open,4.5
A man is standing at the wheel of a classic American car that has its door and trunk open,A woman is standing at the wheel of a classic American car that has its door and trunk open,4.0
The man in blue is posing for a picture next to a vehicle,The man in blue is posing for a picture next to a car,4.8
The man in blue is posing for a picture next to a car,The woman in blue is posing for a picture next to a car,3.3
Two people are sitting on a white bench,Two people are sitting on a bench,4.5
The woman is sitting near a flower bed and is overlooking a tunnel,A woman is sitting near a flower bed and is overlooking a tunnel,4.8
A man is sitting near a flower bed and is overlooking a tunnel,A woman is sitting near a flower bed and is overlooking a tunnel,3.8
A woman is sitting near a flower bed and is overlooking a tunnel,Two people are standing on a bench,1.1
A woman is sitting near a flower bed and is overlooking a tunnel,Two people are sitting on a bench,1.5
A man by a brick wall is wearing a mask around his mouth and a hair net,A woman by a brick wall is wearing a mask around her mouth and a hair net,3.2
A man is wearing a clear plastic cap and a mask,A man by a brick wall is wearing a mask around his mouth and a hair net,2.8
A man by a brick wall is wearing a mask around his mouth and a hair net,A man is wearing a clear plastic cap and a face mask,2.4
Two dogs are in a kennel on their hind legs and are facing one another,Two dogs are playing with each other,3.5
A black dog and a yellow dog are playing with each other,Two cats are in a kennel on their hind legs and are facing one another,2.1
A black dog and a yellow dog are playing with each other,Two dogs are in a kennel on their hind legs and are facing one another,3.2
Two dogs and two people are walking in the woods,Two dogs and two people are walking in a wood,4.5
Two dogs and two people are sitting in the woods,Two dogs and two people are walking in the woods,3.6
Two dogs and two people are walking in a wood,Two women with dogs are walking on a forest path,4.2
Two women with dogs are walking on a forest path,Two dogs and two people are sitting in the woods,2.9
A man is snowboarding down a railing in the snow,A woman is snowboarding down a railing in the snow,3.8
A man is skiing down a hill and over a red obstacle,A man is skiing down a hill and jumping a red obstacle,4.4
A woman is skiing down a hill and over a red obstacle,A man is snowboarding down a railing in the snow,2.9
Two men are taking a break from construction,Two men are taking a break from work,4.1
Two men are not taking a break from construction,Two men are taking a break from construction,3.4
Two construction workers are sitting up on the side of a building,Two construction workers are sitting up on the top of a building,3.4
Two construction workers are sitting up on the top of a building,Two men are taking a break from construction,3.7
Two men are not taking a break from construction,Two construction workers are sitting up on the side of a building,3.5
Two men are taking a break from construction,Two construction workers are sitting up on the side of a building,4.0
The skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard,3.6
A man in a red shirt is doing a trick with a skateboard,A skateboarder is jumping in the air,3.5
A skateboarder is jumping in the air,A man in a red shirt is doing a trick with the rollerblades,2.8
A skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard,3.8
A person is not doing a trick on a slide,A person is doing a trick on a snowboard,2.8
A person is not doing a trick on a slide,A snowboarder is grinding down a long concrete rail,1.7
Three friends are making faces for the camera,Three friends are making faces for a photo,5.0
Two men and a girl in behind of a wood panel wall are posing with funny faces,Two men and a girl in front of a wood panel wall are posing with funny faces,3.9
Three friends are making faces for a photo,Two men and a girl in front of a wood panel wall are posing with funny faces,3.9
Two men and a girl in front of a wood panel wall are posing with funny faces,Three enemies are making faces for the camera,2.8
Two men and a girl in front of a wood panel wall are posing with funny faces,The friends are making faces for the camera,3.5
Three friends are making faces for the camera,Two men and a girl in front of a wood panel wall are posing with funny faces,3.365
Four people are walking along a city sidewalk and the one in the green hat is phoning someone,Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,4.65
Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,A group of people is not walking down the street and a person in a green hat is on the phone,3.7
A group of people is walking down the street and a person in a green hat is on the phone,Four people are walking along a city sidewalk and the one in the green hat is not talking on a cell phone,3.4
Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,A group of people is walking down the street and a person in a green hat is on the phone,4.7
"A woman is standing at dusk on an almost pristine, snowy road, that is lit only by headlights","A man is standing at dusk on an almost pristine, snowy road, that is lit only by headlights",3.7
"A man is standing at dusk on an almost pristine road covered by snow, that is lit only by headlights",A person is standing in the snow at the edge of a mountain,3.6
A person is standing in the snow at the edge of a mountain,"A woman is standing at dusk on an almost pristine, snowy road, that is lit only by headlights",2.9
Three women are sitting together near woven walls,Three men are sitting together near woven walls,3.6
Three women are resting in a village,Three women are sitting in a village,4.5
Three women are sitting in a village,Three women are running in a village,3.6
Some women are sitting together near woven walls,Three women are sitting in a village,3.4
Three women are sitting together near woven walls,Three women are sitting in a village,3.5
A surfer in a black wetsuit is riding a foamy wave,A surfer is surfing a big wave,4.0
A surfer is surfing a small wave,A surfer in a black wetsuit is riding a foamy wave,4.1
A person with a red hooded jacket and a black backpack is walking near a rocky wall,A person with a red hooded jacket and a black backpack is not walking near a rocky wall,4.3
A man in a red jacket and khaki pants is walking through an American state,A person in a red jacket and khaki pants is walking through an American state,4.7
A man in a red jacket and khaki pants is walking through an European state,A man in a red jacket and khaki pants is walking through an American state,3.5
A person in a red jacket and khaki pants is walking through an American state,A person with a red hooded jacket and a black backpack is walking near a rocky wall,3.1
A man in a red jacket and khaki pants is walking through an American state,A person with a red hooded jacket and a black backpack is not walking near a rocky wall,3.1
A person with a red hooded jacket and a black backpack is walking near a rocky wall,A man in a red jacket and khaki pants is walking through an American state,2.5
The players is maneuvering for the soccer ball,The players is maneuvering for the ball,4.5
A man in green is hitting a soccer ball and a man in purple and white is falling down,A man in green is kicking a soccer ball and a man in purple and white is falling down,4.4
A kid is splashing in the pool,A kid is splashing in the ocean,4.1
Two children are playing in the surf,Two children are playing,4.6
Two children are not playing in the surf,Two children are playing in the surf,4.0
Two children are playing,A kid is splashing in the ocean,2.0
A kid is splashing in the ocean,Two children are not playing in the surf,3.2
Two children are playing in the surf,A kid is splashing in the pool,2.6
A man is wearing a purple shirt and black leather chaps and is posing for the camera,A model is wearing a purple shirt and black leather chaps and is posing for the camera,4.4
A man is wearing a purple shirt and black leather chaps and is posing for the camera,A man is not wearing a purple shirt and black leather chaps and is posing for the camera,3.8
The man dressed in chaps made of leather and a purple shirt is standing in front of some onlookers,The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,4.4
The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,A man is not wearing a purple shirt and black leather chaps and is posing for the camera,3.8
Two dogs are running and trying to catch a soccer ball,Two dogs are running and trying to catch a ball,4.4
Two dogs are running and trying to catch a soccer ball,Two cats on a lawn are playing with a plastic toy,2.2
Two dogs on a lawn are playing with a plastic toy,Two dogs are running and trying to catch a ball,4.2
Two people dressed in green and red costumes are outside on the seashore,Two people dressed in green and red costumes are outside on the sidewalk,4.0
Men in costumes are walking around in the street,People in costumes are walking around in the street,4.3
People in costumes are sitting in the street,People in costumes are walking around in the street,2.7
No dog is in the sand that is blowing in the wind,A dog is in the sand that is blowing in the wind,4.1
"A dog is in an area full of sand, with the sand that is being stirred up into the air and several plants are in the background",A dog is in the sand that is blowing in the wind,3.765
A dog is in the sand that is blowing in the wind,A cat is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,2.6
The black and white dog is sitting on a green yard,The black and white dog is running in a green yard,2.8
The black and white dog is running outdoors,A black and white dog is running outdoors,4.8
The black and white dog is running indoors,The black and white dog is running in a green yard,3.3
The black and white dog is running in a field,The black and white dog is running outdoors,4.4
The black and white dog is running outdoors,The black and white dog is sitting on a green yard,2.915
The black and white dog is running in a green yard,The black and white dog is running outdoors,4.3
A couple standing on the curb,A man and a woman are standing on the curb,4.3
A man and a woman are jumping on the curb,A man and a woman are standing on the curb,3.8
A woman wearing a blue shirt and high heels is standing on the sidewalk next to the man,A man and a woman are standing on the curb,3.4
A woman wearing a blue shirt and high heels is standing on the sidewalk next to a man,A couple standing on the curb,3.7
A woman wearing a blue shirt and high heels is standing on the sidewalk next to a man,A man and a woman are jumping on the curb,2.6
The dog is jumping in the shade of some trees,A dog is jumping in the shade of some trees,4.9
No dog is jumping in the shade of some trees,A dog is jumping in the shade of some trees,4.3
A dog is jumping in the shade of some trees,A dog is jumping on a trees in the shades,3.6
A cat is jumping high into the air in the country,A dog is jumping high into the air in the country,3.335
A dog is jumping high into the air in the country,No dog is jumping in the shade of some trees,3.3
A dog is jumping high into the air in the country,A dog is jumping on a trees in the shades,3.4
A dog is jumping high into the air in the country,A dog is jumping in the shade of some trees,3.2
A person on a bike is not in the air near a body of water,A person on a bike is in the air near a body of water,4.0
A man on a green bike is performing tricks on a dirt ramp,A stuntman on a bike is in the air near a body of water,3.7
A person on a bike is in the air near a body of water,A man on a green car is performing tricks on a dirt ramp,2.0
A young boy is sitting in a bathing suit and waiting for the next race,A young swimmer is sitting in a bathing suit and waiting for the next race,4.8
A kid is waiting wearing swim gear,A kid is sitting wearing swim gear,4.3
A young swimmer is sitting in a bathing suit and waiting for the next race,A kid is waiting wearing swim gear,3.515
A young boy is sitting in a bathing suit and waiting for the next race,A kid is sitting wearing swim gear,4.4
A kid is sitting wearing swim gear,A young swimmer is sitting in a bathing suit and waiting for the next race,3.7
A black dog and a tan dog are fighting,A black dog and a white dog are wrestling on the floor,3.4
Four dogs are playing in a grassy area,Four dogs are not playing in a grassy area,2.9
A cluster of four brown dogs are playing in a field of brown grass,Four dogs are playing in a area covered by grass,4.4
There is no dog playing in a field of brown grass,Four dogs are playing in a grassy area,3.2
A cluster of four brown dogs are playing in a field of brown grass,Four dogs are playing in a grassy area,4.2
The dog is having a rest in the park,The dog is having a rest in the living room,3.7
A big brown and white spotted dog is lying on a jacket on the street,A big brown and white spotted dog is lying on a cloth on the street,4.4
A big brown and white spotted dog is lying on a jacket on the street,A small brown and white spotted dog is lying on a jacket on the street,4.2
A small brown and white spotted dog is lying on a jacket on the street,The dog is having a rest in the park,3.0
A big brown and white spotted dog is lying on a jacket on the street,The dog is having a rest in the park,2.8
A brown puppy is gnawing a wooden post that is stuck into the ground,A brown puppy is gnawing a metallic post that is stuck in the ground,4.1
A white puppy is biting a pole,A brown puppy is biting a pole,3.5
A brown puppy is gnawing a wooden post that is stuck into the ground,A brown puppy is biting a pole,4.2
A woman is petting a dog near a stone trail,A woman is petting a dog near a stone path,4.9
A woman is playing with a brown dog on a garden path,A woman is playing with a brown cat on a garden path,3.5
A woman is playing with a brown dog in a garden,A woman is petting a dog near a stone path,3.1
A woman is petting a dog near a stone path,A woman is playing with a brown cat on a garden path,3.0
Two men are swimming in deep water,Two men are standing in deep water,3.8
Two men are walking through the water,Two men are standing in the ocean,3.5
Two men are walking through the water,Two men are swimming in deep water,3.9
Two men are standing in deep water,Two men are walking through the water,3.4
A white car and a yellow car are racing down the track,Two cars are racing down the track,4.5
A white car and a yellow car are racing down the track,A white bike and a yellow bike are racing down the track,3.2
Two race cars are on a road in front of a grassy parking area,Two cars for racing are on a road in front of a grassy parking area,4.9
A white car and a yellow car are racing down the track,No race car is on a road in front of a grassy parking area,2.7
A white bike and a yellow bike are racing down the track,Two race cars are on a road in front of a grassy parking area,1.9
Two race cars are on a road in front of a grassy parking area,A white car and a yellow car are racing down the track,3.7
The orange rider is not driving a motorcycle on one wheel,The orange rider is driving a motorcycle on one wheel,4.5
A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,A biker on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,4.8
A man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up,A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,4.1
The orange rider is driving a motorcycle on one wheel,A man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up,2.6
A group of children is playing tambourines,A group of children is not playing tambourines,3.415
A group of children in a church basement is playing guitars and tambourines,A group of children in a church basement is playing maracas and tambourines,4.2
A group of children in a church basement is playing maracas and tambourines,Tambourines are being played by a group of children,4.6
A group of children is not playing tambourines,A group of children in a church basement is playing maracas and tambourines,3.6
A group of children in a church basement is playing maracas and tambourines,A group of children is playing tambourines,3.9
A dog is running through the white snow,A dog is running through the snow,4.7
A dog is running through the snow,No dog is running through the snow,3.1
The brown dog is running in the snow,A dog is running through the snow,4.6
A black dog is running in the snow,A dog is running through the snow,4.5
